Apr 19 1999 03.09, 1999-04-19 03:09:00,
Apr 20 2000 03.10, 2000-04-20 03:10:00,
Apr 21 2211 03.11, 2211-04-21 03:11:00,
Apr 22 2212 07.12, 2212-04-22 07:12:00,
Apr 23 2213 07.13, 2213-04-23 07:13:00,
Apr 24 2214 07.14, 2214-04-24 07:14:00,
Apr 25 2215 07.15, 2215-04-25 07:15:00,
Apr 26 2216 07.16, 2216-04-26 07:16:00,
Apr 10 1990 07.00, 1990-04-10 07:00:00,
Apr 11 1991 07.01, 1991-04-11 07:01:00,
Apr 12 1992 07.02, 1992-04-12 07:02:00,
Apr 13 1993 07.43, 1993-04-13 07:43:00,
Apr 14 1994 07.44, 1994-04-14 07:44:00,
Apr 15 1995 07.45, 1995-04-15 07:45:00,
Apr 16 1996 07.46, 1996-04-16 07:46:00,
Apr 16 1996 07.46, 1996-04-16 07:46:00,
Apr 17 1997 07.47, 1997-04-17 07:47:00,
Apr 18 1998 07.48, 1998-04-18 07:48:00,
Apr 19 1999 07.09, 1999-04-19 07:09:00,
Apr 20 2000 07.10, 2000-04-20 07:10:00,
May 21 2211 07.11, 2211-05-21 07:11:00,
May 22 2212 07.12, 2212-05-22 07:12:00,
May 23 2213 07.13, 2213-05-23 07:13:00,
May 24 2214 07.14, 2214-05-24 07:14:00,
May 25 2215 07.15, 2215-05-25 07:15:00,
May 26 2216 07.16, 2216-05-26 07:16:00,
May 10 1990 07.00, 1990-05-10 07:00:00,
May 11 1991 07.01, 1991-05-11 07:01:00,
May 12 1992 07.02, 1992-05-12 07:02:00,
May 13 1993 09.03, 1993-05-13 09:03:00,
May 14 1994 09.04, 1994-05-14 09:04:00,
May 15 1995 09.05, 1995-05-15 09:05:00,
May 16 1996 09.06, 1996-05-16 09:06:00,
May 16 1996 09.06, 1996-05-16 09:06:00,
May 17 1997 09.07, 1997-05-17 09:07:00,
May 18 1998 09.08, 1998-05-18 09:08:00,
Jun 19 1999 09.09, 1999-06-19 09:09:00,
Jun 20 2000 09.10, 2000-06-20 09:10:00,
Jun 21 2211 09.11, 2211-06-21 09:11:00,
Jun 22 2212 09.12, 2212-06-22 09:12:00,
Jun 23 2213 09.13, 2213-06-23 09:13:00,
Jun 24 2214 09.14, 2214-06-24 09:14:00,
Jun 25 2215 09.15, 2215-06-25 09:15:00,
Jun 26 2216 09.16, 2216-06-26 09:16:00,
Jun 10 1990 09.00, 1990-06-10 09:00:00,
Jun 11 1991 09.01, 1991-06-11 09:01:00,
Jun 12 1992 09.02, 1992-06-12 09:02:00,
Jun 13 1993 09.03, 1993-06-13 09:03:00,
Jun 14 1994 09.04, 1994-06-14 09:04:00,
Jun 15 1995 09.05, 1995-06-15 09:05:00,
Jun 16 1996 09.06, 1996-06-16 09:06:00,
Jun 16 1996 09.06, 1996-06-16 09:06:00,
Jun 17 1997 09.07, 1997-06-17 09:07:00,
Jun 18 1998 09.08, 1998-06-18 09:08:00,
Jun 19 1999 09.09, 1999-06-19 09:09:00,
Jun 20 2000 09.10, 2000-06-20 09:10:00,
Jun 21 2211 09.11, 2211-06-21 09:11:00,
Jun 22 2212 09.12, 2212-06-22 09:12:00,
Jul 23 2213 09.13, 2213-07-23 09:13:00,
Jul 24 2214 09.14, 2214-07-24 09:14:00,
Jul 25 2215 08.15, 2215-07-25 08:15:00,
Jul 26 2216 08.16, 2216-07-26 08:16:00,
Jul 10 1990 08.00, 1990-07-10 08:00:00,
Jul 11 1991 08.01, 1991-07-11 08:01:00,
Jul 12 1992 08.02, 1992-07-12 08:02:00,
Jul 13 1993 08.03, 1993-07-13 08:03:00,
Jul 14 1994 08.04, 1994-07-14 08:04:00,
Jul 15 1995 08.05, 1995-07-15 08:05:00,
Jul 16 1996 08.06, 1996-07-16 08:06:00,
Jul 16 1996 08.06, 1996-07-16 08:06:00,
Jul 17 1997 08.07, 1997-07-17 08:07:00,
Jul 18 1998 08.08, 1998-07-18 08:08:00,
Jul 19 1999 08.09, 1999-07-19 08:09:00,
Jul 20 2000 08.10, 2000-07-20 08:10:00,
Jul 21 2211 08.11, 2211-07-21 08:11:00,
Jul 22 2212 08.32, 2212-07-22 08:32:00,
Jul 23 2213 08.33, 2213-07-23 08:33:00,
Jul 24 2214 08.34, 2214-07-24 08:34:00,
Jul 25 2215 08.35, 2215-07-25 08:35:00,
Jul 26 2216 08.36, 2216-07-26 08:36:00,
Jul 10 1990 14.30, 1990-07-10 14:30:00,
Jul 11 1991 14.31, 1991-07-11 14:31:00,
Jul 12 1992 14.32, 1992-07-12 14:32:00,
Jul 13 1993 14.33, 1993-07-13 14:33:00,
Jul 14 1994 14.34, 1994-07-14 14:34:00,
Jul 15 1995 14.05, 1995-07-15 14:05:00,
Jul 16 1996 14.06, 1996-07-16 14:06:00,
Jul 16 1996 14.06, 1996-07-16 14:06:00,
Jul 17 1997 14.07, 1997-07-17 14:07:00,
Jul 18 1998 14.08, 1998-07-18 14:08:00,
Jul 19 1999 14.09, 1999-07-19 14:09:00,
Aug 20 2000 14.10, 2000-08-20 14:10:00,
Aug 21 2211 14.11, 2211-08-21 14:11:00,
Aug 22 2212 14.12, 2212-08-22 14:12:00,
Aug 23 2213 14.13, 2213-08-23 14:13:00,
Aug 24 2214 14.14, 2214-08-24 14:14:00,
Aug 25 2215 14.15, 2215-08-25 14:15:00,
Aug 26 2216 14.16, 2216-08-26 14:16:00,
Aug 10 1990 14.00, 1990-08-10 14:00:00,
Aug 11 1991 14.01, 1991-08-11 14:01:00,
Aug 12 1992 14.02, 1992-08-12 14:02:00,
Aug 13 1993 14.03, 1993-08-13 14:03:00,
Aug 14 1994 10.04, 1994-08-14 10:04:00,
Aug 15 1995 10.05, 1995-08-15 10:05:00,
Aug 16 1996 10.06, 1996-08-16 10:06:00,
Aug 16 1996 10.06, 1996-08-16 10:06:00,
Aug 17 1997 11.07, 1997-08-17 11:07:00,
Aug 18 1998 11.08, 1998-08-18 11:08:00,
Aug 19 1999 11.09, 1999-08-19 11:09:00,
Sep 20 2000 11.10, 2000-09-20 11:10:00,
Sep 21 2211 11.11, 2211-09-21 11:11:00,
Sep 22 2212 11.12, 2212-09-22 11:12:00,
Sep 23 2213 11.13, 2213-09-23 11:13:00,
Sep 24 2214 11.14, 2214-09-24 11:14:00,
Sep 25 2215 11.15, 2215-09-25 11:15:00,
Sep 26 2216 11.16, 2216-09-26 11:16:00,
Sep 10 1990 11.00, 1990-09-10 11:00:00,
Sep 11 1991 11.01, 1991-09-11 11:01:00,
Sep 12 1992 11.02, 1992-09-12 11:02:00,
Sep 13 1993 11.03, 1993-09-13 11:03:00,
Sep 14 1994 11.04, 1994-09-14 11:04:00,
Sep 15 1995 11.05, 1995-09-15 11:05:00,
Sep 16 1996 11.06, 1996-09-16 11:06:00,
Sep 16 1996 11.06, 1996-09-16 11:06:00,
Sep 17 1997 13.07, 1997-09-17 13:07:00,
Sep 18 1998 13.08, 1998-09-18 13:08:00,
Sep 19 1999 13.09, 1999-09-19 13:09:00,
Sep 20 2000 13.10, 2000-09-20 13:10:00,
Sep 21 2211 13.11, 2211-09-21 13:11:00,
Sep 22 2212 13.12, 2212-09-22 13:12:00,
Sep 23 2213 13.13, 2213-09-23 13:13:00,
Sep 24 2214 13.14, 2214-09-24 13:14:00,
Sep 25 2215 13.15, 2215-09-25 13:15:00,
Oct 26 2216 13.16, 2216-10-26 13:16:00,
Oct 10 1990 13.00, 1990-10-10 13:00:00,
Oct 11 1991 13.01, 1991-10-11 13:01:00,
Oct 12 1992 13.22, 1992-10-12 13:22:00,
Oct 13 1993 13.23, 1993-10-13 13:23:00,
Oct 14 1994 13.24, 1994-10-14 13:24:00,
Oct 15 1995 13.25, 1995-10-15 13:25:00,
Oct 16 1996 13.26, 1996-10-16 13:26:00,
Oct 16 1996 13.26, 1996-10-16 13:26:00,
Oct 17 1997 13.07, 1997-10-17 13:07:00,
Oct 18 1998 13.08, 1998-10-18 13:08:00,
Oct 19 1999 13.09, 1999-10-19 13:09:00,
Oct 20 2000 13.10, 2000-10-20 13:10:00,
Oct 21 2211 13.11, 2211-10-21 13:11:00,
Oct 22 2212 17.12, 2212-10-22 17:12:00,
Oct 23 2213 17.13, 2213-10-23 17:13:00,
Oct 24 2214 17.14, 2214-10-24 17:14:00,
Oct 25 2215 17.15, 2215-10-25 17:15:00,
Oct 26 2216 17.16, 2216-10-26 17:16:00,
Oct 26 2216 17.16, 2216-10-26 17:16:00,
Oct 10 1990 17.00, 1990-10-10 17:00:00,
Oct 11 1991 17.01, 1991-10-11 17:01:00,
Oct 12 1992 17.02, 1992-10-12 17:02:00,
Oct 13 1993 17.03, 1993-10-13 17:03:00,
Oct 14 1994 17.04, 1994-10-14 17:04:00,
Oct 15 1995 17.05, 1995-10-15 17:05:00,
Oct 16 1996 17.06, 1996-10-16 17:06:00,
Oct 16 1996 17.06, 1996-10-16 17:06:00,
Oct 17 1997 17.07, 1997-10-17 17:07:00,
Oct 18 1998 17.08, 1998-10-18 17:08:00,
Oct 19 1999 17.09, 1999-10-19 17:09:00,
Oct 20 2000 17.10, 2000-10-20 17:10:00,
Oct 21 2211 17.11, 2211-10-21 17:11:00,
Oct 22 2212 17.12, 2212-10-22 17:12:00,
Oct 23 2213 17.13, 2213-10-23 17:13:00,
Oct 24 2214 17.14, 2214-10-24 17:14:00,
Oct 25 2215 17.15, 2215-10-25 17:15:00,
Nov 26 2216 17.16, 2216-11-26 17:16:00,
Nov 26 2216 17.16, 2216-11-26 17:16:00,
Nov 10 1990 17.00, 1990-11-10 17:00:00,
Nov 11 1991 19.01, 1991-11-11 19:01:00,
Nov 12 1992 19.02, 1992-11-12 19:02:00,
Nov 13 1993 19.03, 1993-11-13 19:03:00,
Nov 14 1994 19.04, 1994-11-14 19:04:00,
Nov 15 1995 19.05, 1995-11-15 19:05:00,
Nov 16 1996 19.06, 1996-11-16 19:06:00,
Nov 16 1996 19.06, 1996-11-16 19:06:00,
Nov 17 1997 19.07, 1997-11-17 19:07:00,
Nov 18 1998 19.08, 1998-11-18 19:08:00,
Nov 19 1999 19.09, 1999-11-19 19:09:00,
Nov 20 2000 19.10, 2000-11-20 19:10:00,
Nov 21 2211 19.11, 2211-11-21 19:11:00,
Nov 22 2212 19.12, 2212-11-22 19:12:00,
Nov 23 2213 19.13, 2213-11-23 19:13:00,
Dec 24 2214 19.14, 2214-12-24 19:14:00,
Dec 25 2215 19.15, 2215-12-25 19:15:00,
Dec 26 2216 19.16, 2216-12-26 19:16:00,
Dec 26 2216 19.16, 2216-12-26 19:16:00,
Dec 10 1990 19.00, 1990-12-10 19:00:00,
Dec 11 1991 19.01, 1991-12-11 19:01:00,
Dec 12 1992 19.02, 1992-12-12 19:02:00,
Dec 13 1993 19.03, 1993-12-13 19:03:00,
Dec 14 1994 19.04, 1994-12-14 19:04:00,
Dec 15 1995 19.05, 1995-12-15 19:05:00,
Dec 16 1996 19.06, 1996-12-16 19:06:00,
Dec 16 1996 19.06, 1996-12-16 19:06:00,
Dec 17 1997 19.07, 1997-12-17 19:07:00,
Dec 18 1998 19.08, 1998-12-18 19:08:00,
Dec 19 1999 19.09, 1999-12-19 19:09:00,
Dec 20 2000 19.10, 2000-12-20 19:10:00,
Dec 21 2211 19.11, 2211-12-21 19:11:00,
Dec 22 2212 18.12, 2212-12-22 18:12:00,
Dec 23 2213 18.13, 2213-12-23 18:13:00,
Dec 24 2214 18.14, 2214-12-24 18:14:00,
Dec 25 2215 18.15, 2215-12-25 18:15:00,
Dec 26 2216 18.16, 2216-12-26 18:16:00,
