Jgtgtan 10, 1990 04.00; CDT America/Chicago;
Jul 22, 2212 08.32; CDT America/Chicago;
Jul 23, 2213 08.33; CDT America/Chicago;
Jul 24, 2214 08.34; CDT America/Chicago;
Jul 25, 2215 08.35; CDT America/Chicago;
Jul 26, 2216 08.36; CDT America/Chicago;
Jul 10, 1990 14.30; CDT America/Chicago;
Jul 11, 1991 14.31; CDT America/Chicago;
Jul 12, 1992 14.32; CDT America/Chicago;
Jul 13, 1993 14.33; CDT America/Chicago;
Jul 14, 1994 14.34; CDT America/Chicago;
Jul 15, 1995 14.05; CDT America/Chicago;
Jul 16, 1996 14.06; CDT America/Chicago;
Jul 16, 1996 14.06; CDT America/Chicago;
Jul 17, 1997 14.07; CDT America/Chicago;
Jul 18, 1998 14.08; CDT America/Chicago;
Jul 19, 1999 14.09; CDT America/Chicago;
Aug 20, 2000 14.10; CDT America/Chicago;
Aug 21, 2211 14.11; CDT America/Chicago;
Aug 22, 2212 14.12; CDT America/Chicago;
Aug 23, 2213 14.13; CDT America/Chicago;
Aug 24, 2214 14.14; CDT America/Chicago;
Aug 25, 2215 14.15; CDT America/Chicago;
Aug 26, 2216 14.16; CDT America/Chicago;
Aug 10, 1990 14.00; CDT America/Chicago;
Aug 11, 1991 14.01; CDT America/Chicago;
Aug 12, 1992 14.02; CDT America/Chicago;
Aug 13, 1993 14.03; CDT America/Chicago;
Aug 14, 1994 10.04; CDT America/Chicago;
Aug 15, 1995 10.05; CDT America/Chicago;
Aug 16, 1996 10.06; CDT America/Chicago;
Aug 16, 1996 10.06; CDT America/Chicago;
Aug 17, 1997 11.07; CDT America/Chicago;
Aug 18, 1998 11.08; CDT America/Chicago;
Aug 19, 1999 11.09; CDT America/Chicago;
Sep 20, 2000 11.10; CDT America/Chicago;
Sep 21, 2211 11.11; CDT America/Chicago;
Sep 22, 2212 11.12; CDT America/Chicago;
Sep 23, 2213 11.13; CDT America/Chicago;
Sep 24, 2214 11.14; CDT America/Chicago;
Sep 25, 2215 11.15; CDT America/Chicago;
Sep 26, 2216 11.16; CDT America/Chicago;
Sep 10, 1990 11.00; CDT America/Chicago;
Sep 11, 1991 11.01; CDT America/Chicago;
Sep 12, 1992 11.02; CDT America/Chicago;
Sep 13, 1993 11.03; CDT America/Chicago;
Sep 14, 1994 11.04; CDT America/Chicago;
Sep 15, 1995 11.05; CDT America/Chicago;
Sep 16, 1996 11.06; CDT America/Chicago;
Sep 16, 1996 11.06; CDT America/Chicago;
Sep 17, 1997 13.07; CDT America/Chicago;
Sep 18, 1998 13.08; CDT America/Chicago;
Sep 19, 1999 13.09; CDT America/Chicago;
Sep 20, 2000 13.10; CDT America/Chicago;
Sep 21, 2211 13.11; CDT America/Chicago;
Sep 22, 2212 13.12; CDT America/Chicago;
Sep 23, 2213 13.13; CDT America/Chicago;
Sep 24, 2214 13.14; CDT America/Chicago;
Sep 25, 2215 13.15; CDT America/Chicago;
Oct 26, 2216 13.16; CDT America/Chicago;
Oct 10, 1990 13.00; CDT America/Chicago;
Oct 11, 1991 13.01; CDT America/Chicago;
Oct 12, 1992 13.22; CDT America/Chicago;
Oct 13, 1993 13.23; CDT America/Chicago;
Oct 14, 1994 13.24; CDT America/Chicago;
Oct 15, 1995 13.25; CDT America/Chicago;
Oct 16, 1996 13.26; CDT America/Chicago;
Oct 16, 1996 13.26; CDT America/Chicago;
Oct 17, 1997 13.07; CDT America/Chicago;
Oct 18, 1998 13.08; CDT America/Chicago;
Oct 19, 1999 13.09; CDT America/Chicago;
Oct 20, 2000 13.10; CDT America/Chicago;
Oct 21, 2211 13.11; CDT America/Chicago;
Oct 22, 2212 17.12; CDT America/Chicago;
Oct 23, 2213 17.13; CDT America/Chicago;
Oct 24, 2214 17.14; CDT America/Chicago;
Oct 25, 2215 17.15; CDT America/Chicago;
Oct 26, 2216 17.16; CDT America/Chicago;
Oct 26, 2216 17.16; CDT America/Chicago;
Oct 10, 1990 17.00; CDT America/Chicago;
Oct 11, 1991 17.01; CDT America/Chicago;
Oct 12, 1992 17.02; CDT America/Chicago;
Oct 13, 1993 17.03; CDT America/Chicago;
Oct 14, 1994 17.04; CDT America/Chicago;
Oct 15, 1995 17.05; CDT America/Chicago;
Oct 16, 1996 17.06; CDT America/Chicago;
Oct 16, 1996 17.06; CDT America/Chicago;
Oct 17, 1997 17.07; CDT America/Chicago;
Oct 18, 1998 17.08; CDT America/Chicago;
Oct 19, 1999 17.09; CDT America/Chicago;
Oct 20, 2000 17.10; CDT America/Chicago;
Oct 21, 2211 17.11; CDT America/Chicago;
Oct 22, 2212 17.12; CDT America/Chicago;
Oct 23, 2213 17.13; CDT America/Chicago;
Oct 24, 2214 17.14; CDT America/Chicago;
Oct 25, 2215 17.15; CDT America/Chicago;
Nov 26, 2216 17.16; CDT America/Chicago;
Nov 26, 2216 17.16; CDT America/Chicago;
Nov 10, 1990 17.00; CDT America/Chicago;
Nov 11, 1991 19.01; CDT America/Chicago;
Nov 12, 1992 19.02; CDT America/Chicago;
Nov 13, 1993 19.03; CDT America/Chicago;
Nov 14, 1994 19.04; CDT America/Chicago;
Nov 15, 1995 19.05; CDT America/Chicago;
Nov 16, 1996 19.06; CDT America/Chicago;
Nov 16, 1996 19.06; CDT America/Chicago;
Nov 17, 1997 19.07; CDT America/Chicago;
Nov 18, 1998 19.08; CDT America/Chicago;
Nov 19, 1999 19.09; CDT America/Chicago;
Nov 20, 2000 19.10; CDT America/Chicago;
Nov 21, 2211 19.11; CDT America/Chicago;
Nov 22, 2212 19.12; CDT America/Chicago;
Nov 23, 2213 19.13; CDT America/Chicago;
Dec 24, 2214 19.14; CDT America/Chicago;
Dec 25, 2215 19.15; CDT America/Chicago;
Dec 26, 2216 19.16; CDT America/Chicago;
Dec 26, 2216 19.16; CDT America/Chicago;
Dec 10, 1990 19.00; CDT America/Chicago;
Dec 11, 1991 19.01; CDT America/Chicago;
Dec 12, 1992 19.02; CDT America/Chicago;
Dec 13, 1993 19.03; CDT America/Chicago;
Dec 14, 1994 19.04; CDT America/Chicago;
Dec 15, 1995 19.05; CDT America/Chicago;
Dec 16, 1996 19.06; CDT America/Chicago;
Dec 16, 1996 19.06; CDT America/Chicago;
Dec 17, 1997 19.07; CDT America/Chicago;
Dec 18, 1998 19.08; CDT America/Chicago;
Dec 19, 1999 19.09; CDT America/Chicago;
Dec 20, 2000 19.10; CDT America/Chicago;
Dec 21, 2211 19.11; CDT America/Chicago;
Dec 22, 2212 18.12; CDT America/Chicago;
Dec 23, 2213 18.13; CDT America/Chicago;
Dec 24, 2214 18.14; CDT America/Chicago;
Dec 25, 2215 18.15; CDT America/Chicago;
Dec 26, 2216 18.16; CDT America/Chicago;
